e0,e0_prime,e2_prme
-11.81922144805077,-1.8439858412935675,-6.409616133641478
-9.777491046980387,-1.814425097323838,-5.388736746016622
-8.907255705093805,-1.7981291851899415,-4.953631806178612
-8.823126750428873,-1.796400270776108,-4.911567286781619
-7.877575653372099,-1.7747139562395564,-4.438789546080801
-5.878048780487884,-1.7092198581560132,-3.4390243902438966
-3.9949086552861734,-1.5995922772514353,-2.4974543276430046
-3.155636990730916,-1.5187260089220724,-2.0778184953654146
-2.1063170704724743,-1.3561507229859606,-1.5531585352362132
-1.8425351756677548,-1.29640080502458,-1.4212654815064607
-1.5414505387405966,-1.2130465442785394,-1.2707239157507215
-1.4382312984793522,-1.179733275818691,-1.219115649239672
-1.327289389278004,-1.1406311526129307,-1.1636446946390038
-1.2406507195456575,-1.1074021566353074,-1.1203253597728273
